"TournamentName","TournamentLink"
"*GARDEN LIGHTS trading.Est* presents WP super league - 2021","https://cricheroes.in/tournament/296544/*GARDEN-LIGHTS-trading.Est*-presents-WP-super-league---2021"
"SSK Supersixers League","https://cricheroes.in/tournament/276870/SSK-Supersixers-League"
"Baresi Cricket Tournament","https://cricheroes.in/tournament/227159/Baresi-Cricket-Tournament"
"BEAST CRICKET LEAGUE","https://cricheroes.in/tournament/282919/BEAST-CRICKET-LEAGUE"
"Ismaili Premiere League 2","https://cricheroes.in/tournament/311662/Ismaili-Premiere-League-2"
"Rising Cricket League Season 1","https://cricheroes.in/tournament/289006/Rising-Cricket-League-Season-1"
"RMGB PREMIER LEAGUE - SEASON 2","https://cricheroes.in/tournament/307326/RMGB-PREMIER-LEAGUE---SEASON-2"
"Speciality Premier League 8","https://cricheroes.in/tournament/310028/Speciality-Premier-League-8"
"USM TURF CRICKET TOURNAMENT SEASON 5.0","https://cricheroes.in/tournament/298222/USM-TURF-CRICKET-TOURNAMENT-SEASON-5.0"
"YHC-T20 SEASON 4","https://cricheroes.in/tournament/297597/YHC-T20-SEASON-4"
"Melbourne Tuskers- Neuroaxis Champions Trophy 2021","https://cricheroes.in/tournament/252456/Melbourne-Tuskers--Neuroaxis-Champions-Trophy-2021"
"APL - SEASON 10","https://cricheroes.in/tournament/289619/APL---SEASON-10"
"*GARDEN LIGHTS trading.Est* presents WP super league - 2021","https://cricheroes.in/tournament/296544/*GARDEN-LIGHTS-trading.Est*-presents-WP-super-league---2021"
"SSK Supersixers League","https://cricheroes.in/tournament/276870/SSK-Supersixers-League"
"Baresi Cricket Tournament","https://cricheroes.in/tournament/227159/Baresi-Cricket-Tournament"
"BEAST CRICKET LEAGUE","https://cricheroes.in/tournament/282919/BEAST-CRICKET-LEAGUE"
"Ismaili Premiere League 2","https://cricheroes.in/tournament/311662/Ismaili-Premiere-League-2"
"Rising Cricket League Season 1","https://cricheroes.in/tournament/289006/Rising-Cricket-League-Season-1"
"RMGB PREMIER LEAGUE - SEASON 2","https://cricheroes.in/tournament/307326/RMGB-PREMIER-LEAGUE---SEASON-2"
"Speciality Premier League 8","https://cricheroes.in/tournament/310028/Speciality-Premier-League-8"
"USM TURF CRICKET TOURNAMENT SEASON 5.0","https://cricheroes.in/tournament/298222/USM-TURF-CRICKET-TOURNAMENT-SEASON-5.0"
"YHC-T20 SEASON 4","https://cricheroes.in/tournament/297597/YHC-T20-SEASON-4"
"Melbourne Tuskers- Neuroaxis Champions Trophy 2021","https://cricheroes.in/tournament/252456/Melbourne-Tuskers--Neuroaxis-Champions-Trophy-2021"
"APL - SEASON 10","https://cricheroes.in/tournament/289619/APL---SEASON-10"
"*GARDEN LIGHTS trading.Est* presents WP super league - 2021","https://cricheroes.in/tournament/296544/*GARDEN-LIGHTS-trading.Est*-presents-WP-super-league---2021"
